Id,SalePrice
1461,131000.0
1462,158780.0
1463,188250.0
1464,171980.0
1465,196550.0
1466,182290.0
1467,175940.0
1468,172200.0
1469,179023.5
1470,123500.0
1471,192220.0
1472,89130.0
1473,92050.0
1474,150950.0
1475,140040.0
1476,414331.0
1477,250084.6
1478,297230.3
1479,297576.2
1480,424395.0
1481,282411.3
1482,213785.0
1483,175678.0
1484,173268.5
1485,174140.0
1486,203840.0
1487,304016.1
1488,256660.0
1489,207838.0
1490,201920.0
1491,188140.0
1492,97380.0
1493,179413.2
1494,278340.6
1495,279790.0
1496,213288.6
1497,188620.0
1498,155435.3
1499,152800.0
1500,155270.0
1501,170010.0
1502,161245.0
1503,258462.4
1504,244616.3
1505,210608.0
1506,174410.0
1507,216068.0
1508,192200.0
1509,158995.0
1510,153825.0
1511,149290.0
1512,162450.0
1513,130541.3
1514,170070.0
1515,189840.0
1516,158140.0
1517,154660.0
1518,121910.5
1519,221007.8
1520,130995.0
1521,147615.0
1522,155475.8
1523,112107.6
1524,118980.0
1525,124420.0
1526,129290.0
1527,102023.0
1528,127210.0
1529,149500.0
1530,176740.0
1531,130445.0
1532,112690.0
1533,168307.5
1534,115315.0
1535,158940.0
1536,116600.0
1537,60682.2
1538,182300.0
1539,214187.0
1540,108650.0
1541,147860.0
1542,141740.0
1543,200430.0
1544,91400.0
1545,101290.0
1546,122720.0
1547,144785.0
1548,142640.0
1549,118080.0
1550,143490.0
1551,118290.0
1552,148100.0
1553,160747.0
1554,116885.0
1555,174970.0
1556,87840.0
1557,132530.4
1558,96600.0
1559,118050.0
1560,142260.0
1561,148840.0
1562,127095.0
1563,128090.0
1564,180558.7
1565,150850.0
1566,229525.0
1567,75800.0
1568,230540.0
1569,162358.2
1570,135340.0
1571,142110.0
1572,150490.0
1573,244000.0
1574,138460.0
1575,210700.0
1576,214820.0
1577,198036.4
1578,150890.0
1579,143626.0
1580,192183.5
1581,142650.0
1582,122440.0
1583,370554.9
1584,236307.8
1585,142040.0
1586,74680.0
1587,101925.0
1588,161360.0
1589,113740.0
1590,124640.0
1591,103470.0
1592,128275.0
1593,114690.0
1594,154600.0
1595,118800.0
1596,225345.0
1597,196880.0
1598,182440.0
1599,203492.2
1600,194400.0
1601,77940.0
1602,99188.3
1603,99030.0
1604,281500.0
1605,257763.0
1606,169450.0
1607,157816.8
1608,211780.0
1609,189981.0
1610,160340.0
1611,138650.0
1612,159724.0
1613,169190.0
1614,120390.0
1615,85340.0
1616,84890.0
1617,84850.0
1618,127540.0
1619,136820.0
1620,164485.3
1621,139820.0
1622,152300.0
1623,316400.0
1624,207603.0
1625,125563.3
1626,169090.0
1627,198950.0
1628,276021.3
1629,176580.0
1630,362470.3
1631,243586.3
1632,276500.0
1633,166373.5
1634,182030.0
1635,178000.0
1636,160378.5
1637,188688.7
1638,201125.0
1639,176665.0
1640,261225.0
1641,172050.0
1642,223087.5
1643,239153.5
1644,226987.7
1645,176250.0
1646,148650.0
1647,171024.0
1648,144970.0
1649,141065.0
1650,125210.0
1651,124330.0
1652,94190.0
1653,94780.0
1654,150205.3
1655,144590.0
1656,151600.0
1657,153090.3
1658,158397.0
1659,140520.0
1660,143800.0
1661,433507.2
1662,395807.5
1663,373298.9
1664,451207.5
1665,339209.5
1666,349688.7
1667,323214.4
1668,320466.7
1669,300382.2
1670,340477.6
1671,269355.0
1672,447248.2
1673,303058.1
1674,253619.3
1675,179025.0
1676,189450.0
1677,216850.0
1678,427265.6
1679,418767.6
1680,332937.7
1681,268729.6
1682,305943.9
1683,191823.0
1684,165770.5
1685,170128.0
1686,168811.5
1687,164013.5
1688,186745.0
1689,190005.0
1690,180223.5
1691,171749.0
1692,258823.5
1693,166320.0
1694,192015.0
1695,166190.0
1696,251500.0
1697,172623.5
1698,335516.8
1699,348393.0
1700,233617.8
1701,259393.5
1702,266570.0
1703,246053.0
1704,286437.7
1705,268975.1
1706,362166.8
1707,203283.0
1708,213289.0
1709,269434.2
1710,224913.2
1711,247693.0
1712,269296.4
1713,229200.0
1714,216905.0
1715,199235.0
1716,184283.7
1717,158260.2
1718,151878.0
1719,206125.0
1720,256140.0
1721,166053.7
1722,128235.0
1723,154340.0
1724,208218.0
1725,235235.0
1726,194295.0
1727,177650.0
1728,189530.0
1729,159265.0
1730,155935.8
1731,126215.0
1732,126155.0
1733,116768.3
1734,134725.0
1735,133207.5
1736,120587.5
1737,383646.3
